epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0379,1.40964,2.19524,1.40867,0.54352,0.20276,0.2018,0.08457,2.04685,2.98725,1.90645,0.000326531,0.000326531,0.0676735
2,62.1987,1.28174,1.51916,1.32007,0.49994,0.48098,0.46889,0.2545,1.56594,2.36221,1.45,0.000646799,0.000646799,0.0346604
3,89.6356,1.2237,1.38752,1.28095,0.52456,0.47611,0.45265,0.2463,1.52749,1.93405,1.43654,0.000953867,0.000953867,0.00163414
4,117.49,1.19173,1.31015,1.26791,0.53807,0.30217,0.26976,0.13366,2.0007,4.37455,1.84175,0.0009406,0.0009406,0.0009406
5,144.461,1.15447,1.2343,1.23773,0.34736,0.57993,0.43009,0.22748,1.54214,2.17137,1.44372,0.0009208,0.0009208,0.0009208
6,172.298,1.11183,1.15857,1.22388,0.73671,0.5252,0.60882,0.34237,1.51711,1.56428,1.40798,0.000901,0.000901,0.000901
7,204.061,1.0964,1.14891,1.22083,0.68518,0.53396,0.59951,0.30857,1.60043,1.63679,1.53232,0.0008812,0.0008812,0.0008812
8,235.735,1.108,1.11883,1.22297,0.67006,0.59697,0.62394,0.34579,1.50047,1.68647,1.36296,0.0008614,0.0008614,0.0008614
9,267.069,1.08469,1.08022,1.20181,0.60893,0.57806,0.58221,0.32493,1.55,1.61342,1.51365,0.0008416,0.0008416,0.0008416
10,298.807,1.04943,1.03273,1.18927,0.75771,0.63178,0.73004,0.43311,1.35368,1.15773,1.2712,0.0008218,0.0008218,0.0008218
11,330.525,1.03397,1.01995,1.18566,0.70541,0.62384,0.69527,0.39004,1.49872,1.3087,1.32587,0.000802,0.000802,0.000802
12,362.453,1.02581,0.98379,1.1808,0.79049,0.62996,0.72186,0.42571,1.4182,1.20991,1.31088,0.0007822,0.0007822,0.0007822
13,394.623,1.01081,1.00531,1.16114,0.71762,0.66449,0.71604,0.4163,1.35424,1.15645,1.28498,0.0007624,0.0007624,0.0007624
14,426.548,0.96959,0.94831,1.15512,0.77798,0.58209,0.7124,0.41893,1.34728,1.199,1.29628,0.0007426,0.0007426,0.0007426
15,458.527,0.98956,0.94463,1.16743,0.69929,0.47832,0.62392,0.38362,1.35867,2.67421,1.2883,0.0007228,0.0007228,0.0007228
16,492.61,0.99191,0.95357,1.16131,0.72553,0.66684,0.72831,0.44103,1.34759,1.10668,1.26414,0.000703,0.000703,0.000703
17,525.66,0.95322,0.91594,1.15506,0.79124,0.66617,0.75302,0.44589,1.37744,1.08715,1.3148,0.0006832,0.0006832,0.0006832
18,558.739,0.97252,0.9206,1.15943,0.75267,0.61663,0.71107,0.41116,1.38928,1.25363,1.32239,0.0006634,0.0006634,0.0006634
19,591.276,0.9257,0.8767,1.14061,0.6832,0.56712,0.63986,0.38347,1.29613,1.30688,1.28788,0.0006436,0.0006436,0.0006436
20,623.369,0.92539,0.8809,1.13556,0.84332,0.64841,0.77387,0.48416,1.23,1.03268,1.18864,0.0006238,0.0006238,0.0006238
21,656.028,0.91653,0.86182,1.12958,0.81594,0.63342,0.74958,0.45587,1.25818,1.10087,1.24907,0.000604,0.000604,0.000604
22,688.586,0.90204,0.83388,1.12525,0.85783,0.6616,0.79551,0.50401,1.23073,0.98177,1.18404,0.0005842,0.0005842,0.0005842
23,721.279,0.89501,0.83296,1.11855,0.82309,0.64487,0.7639,0.47946,1.25663,1.152,1.21331,0.0005644,0.0005644,0.0005644
24,753.56,0.88621,0.8176,1.11408,0.8279,0.66892,0.77575,0.50478,1.21545,1.03256,1.18952,0.0005446,0.0005446,0.0005446
25,790.286,0.88627,0.823,1.11621,0.79607,0.68993,0.78485,0.49844,1.22506,0.9457,1.18147,0.0005248,0.0005248,0.0005248
26,823.052,0.88718,0.82748,1.11912,0.77832,0.68028,0.76481,0.47986,1.26975,1.01285,1.22009,0.000505,0.000505,0.000505
27,855.186,0.86573,0.79399,1.1152,0.78765,0.6665,0.76502,0.45816,1.314,1.07951,1.26389,0.0004852,0.0004852,0.0004852
28,886.936,0.86033,0.77989,1.10293,0.70982,0.74287,0.77213,0.49304,1.21636,0.95103,1.1802,0.0004654,0.0004654,0.0004654
29,919.641,0.87186,0.79281,1.10774,0.82926,0.67122,0.7994,0.51582,1.2512,0.90339,1.20442,0.0004456,0.0004456,0.0004456
30,952.57,0.87894,0.78627,1.10412,0.86745,0.68106,0.80654,0.52513,1.18288,0.88951,1.16092,0.0004258,0.0004258,0.0004258
31,984.6,0.85004,0.7561,1.09302,0.8862,0.66618,0.81529,0.53518,1.15468,0.90092,1.15034,0.000406,0.000406,0.000406
32,1016.91,0.85111,0.75673,1.08951,0.80267,0.69915,0.78952,0.51547,1.16636,0.92405,1.16102,0.0003862,0.0003862,0.0003862
